a	b	c	d		e	f	g
/wiki/List_of_municipalities_in_%C4%B0stanbul_Province	Gaziosmanpaşa	1336	Taşoluk	100563	/wiki/%C4%B0stanbul_Province	İstanbul Province	TR100
/wiki/List_of_municipalities_in_Antalya_Province	Gazipaşa	1337	Gazipaşa	100564	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Gazipaşa	1337	Kahyalar	100565	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Kocaeli_Province	Gebze	1338	Çayırova	100566	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gebze	1338	Darıca	100567	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gebze	1338	Dilovası	100568	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gebze	1338	Gebze	100569	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gebze	1338	Şekerpınar	100570	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gebze	1338	Tavşancıl	100571	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Akçaalan	100572	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Altınkent	100573	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Cebrail	100574	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Erdoğmuş	100575	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Eskigediz	100576	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Fırdan	100577	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Gediz	100578	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Gökler	100579	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Gümele	100580	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Gürlek	100581	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Kayaköy	100582	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Üzümlü	100583	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Yenikent	100584	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Yeşilçay	100585	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Gediz	1339	Yunuslar	100586	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_%C3%87anakkale_Province	Gelibolu	1340	Bolayır	100587	/wiki/%C3%87anakkale_Province	Çanakkale Province	TR222
/wiki/List_of_municipalities_in_%C3%87anakkale_Province	Gelibolu	1340	Evreşe	100588	/wiki/%C3%87anakkale_Province	Çanakkale Province	TR222
/wiki/List_of_municipalities_in_%C3%87anakkale_Province	Gelibolu	1340	Gelibolu	100589	/wiki/%C3%87anakkale_Province	Çanakkale Province	TR222
/wiki/List_of_municipalities_in_%C3%87anakkale_Province	Gelibolu	1340	Kavakköy	100590	/wiki/%C3%87anakkale_Province	Çanakkale Province	TR222
/wiki/List_of_municipalities_in_Isparta_Province	Gelendost	1341	Bağıllı	100591	/wiki/Isparta_Province	Isparta Province	TR612
/wiki/List_of_municipalities_in_Isparta_Province	Gelendost	1341	Gelendost	100592	/wiki/Isparta_Province	Isparta Province	TR612
/wiki/List_of_municipalities_in_Isparta_Province	Gelendost	1341	Yaka	100593	/wiki/Isparta_Province	Isparta Province	TR612
/wiki/List_of_municipalities_in_Sivas_Province	Gemerek	1342	Çepni	100594	/wiki/Sivas_Province	Sivas Province	TR722
/wiki/List_of_municipalities_in_Sivas_Province	Gemerek	1342	Eğerci	100595	/wiki/Sivas_Province	Sivas Province	TR722
/wiki/List_of_municipalities_in_Sivas_Province	Gemerek	1342	Gemerek	100596	/wiki/Sivas_Province	Sivas Province	TR722
/wiki/List_of_municipalities_in_Sivas_Province	Gemerek	1342	İnkışla	100597	/wiki/Sivas_Province	Sivas Province	TR722
/wiki/List_of_municipalities_in_Sivas_Province	Gemerek	1342	Sızır	100598	/wiki/Sivas_Province	Sivas Province	TR722
/wiki/List_of_municipalities_in_Sivas_Province	Gemerek	1342	Yeniçubuk	100599	/wiki/Sivas_Province	Sivas Province	TR722
/wiki/List_of_municipalities_in_Bursa_Province	Gemlik	1343	Gemlik	100600	/wiki/Bursa_Province	Bursa Province	TR411
/wiki/List_of_municipalities_in_Bursa_Province	Gemlik	1343	Kurşunlu	100601	/wiki/Bursa_Province	Bursa Province	TR411
/wiki/List_of_municipalities_in_Bursa_Province	Gemlik	1343	Küçükkumla	100602	/wiki/Bursa_Province	Bursa Province	TR411
/wiki/List_of_municipalities_in_Bursa_Province	Gemlik	1343	Umurbey	100603	/wiki/Bursa_Province	Bursa Province	TR411
/wiki/List_of_municipalities_in_Bing%C3%B6l_Province	Genç	1344	Çaytepe	100604	/wiki/Bing%C3%B6l_Province	Bingöl Province	TRB13
/wiki/List_of_municipalities_in_Bing%C3%B6l_Province	Genç	1344	Genç	100605	/wiki/Bing%C3%B6l_Province	Bingöl Province	TRB13
/wiki/List_of_municipalities_in_Bing%C3%B6l_Province	Genç	1344	Servi	100606	/wiki/Bing%C3%B6l_Province	Bingöl Province	TRB13
/wiki/List_of_municipalities_in_Batman_Province	Gercüş	1345	Gercüş	100607	/wiki/Batman_Province	Batman Province	TRC32
/wiki/List_of_municipalities_in_Batman_Province	Gercüş	1345	Hisar	100608	/wiki/Batman_Province	Batman Province	TRC32
/wiki/List_of_municipalities_in_Batman_Province	Gercüş	1345	Kayapınar	100609	/wiki/Batman_Province	Batman Province	TRC32
/wiki/List_of_municipalities_in_Bolu_Province	Gerede	1346	Gerede	100610	/wiki/Bolu_Province	Bolu Province	TR424
/wiki/List_of_municipalities_in_Ad%C4%B1yaman_Province	Gerger	1347	Gerger	100611	/wiki/Ad%C4%B1yaman_Province	Adıyaman Province	TRC12
/wiki/List_of_municipalities_in_Ayd%C4%B1n_Province	Germencik	1348	Germencik	100612	/wiki/Ayd%C4%B1n_Province	Aydın Province	TR321
/wiki/List_of_municipalities_in_Ayd%C4%B1n_Province	Germencik	1348	Hıdırbeyli	100613	/wiki/Ayd%C4%B1n_Province	Aydın Province	TR321
/wiki/List_of_municipalities_in_Ayd%C4%B1n_Province	Germencik	1348	Mursallı	100614	/wiki/Ayd%C4%B1n_Province	Aydın Province	TR321
/wiki/List_of_municipalities_in_Ayd%C4%B1n_Province	Germencik	1348	Ortaklar	100615	/wiki/Ayd%C4%B1n_Province	Aydın Province	TR321
/wiki/List_of_municipalities_in_Sinop_Province	Gerze	1349	Gerze	100616	/wiki/Sinop_Province	Sinop Province	TR823
/wiki/List_of_municipalities_in_Sinop_Province	Gerze	1349	Yenikent	100617	/wiki/Sinop_Province	Sinop Province	TR823
/wiki/List_of_municipalities_in_Van_Province	Gevaş	1350	Gevaş	100618	/wiki/Van_Province	Van Province	TRB21
/wiki/List_of_municipalities_in_Van_Province	Gevaş	1350	Uysal	100619	/wiki/Van_Province	Van Province	TRB21
/wiki/List_of_municipalities_in_Sakarya_Province	Geyve	1351	Alifuatpaşa	100620	/wiki/Sakarya_Province	Sakarya Province	TR422
/wiki/List_of_municipalities_in_Sakarya_Province	Geyve	1351	Geyve	100621	/wiki/Sakarya_Province	Sakarya Province	TR422
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Göksun	1353	Bozhüyük	100622	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Göksun	1353	Büyükkızılcık	100623	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Göksun	1353	Çardak	100624	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Göksun	1353	Değirmendere	100625	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Göksun	1353	Ericek	100626	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Göksun	1353	Kanlıkavak	100627	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Göksun	1353	Taşoluk	100628	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Ad%C4%B1yaman_Province	Gölbaşı	1354	Balkar	100629	/wiki/Ad%C4%B1yaman_Province	Adıyaman Province	TRC12
/wiki/List_of_municipalities_in_Ad%C4%B1yaman_Province	Gölbaşı	1354	Belören	100630	/wiki/Ad%C4%B1yaman_Province	Adıyaman Province	TRC12
/wiki/List_of_municipalities_in_Ad%C4%B1yaman_Province	Gölbaşı	1354	Gölbaşı	100631	/wiki/Ad%C4%B1yaman_Province	Adıyaman Province	TRC12
/wiki/List_of_municipalities_in_Ad%C4%B1yaman_Province	Gölbaşı	1354	Harmanlı	100632	/wiki/Ad%C4%B1yaman_Province	Adıyaman Province	TRC12
/wiki/List_of_municipalities_in_Kocaeli_Province	Gölcük	1355	Değirmendere	100633	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gölcük	1355	Gölcük	100634	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gölcük	1355	Halıdere	100635	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gölcük	1355	Hisareyn	100636	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gölcük	1355	İhsaniye	100637	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gölcük	1355	Ulaşlı	100638	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Kocaeli_Province	Gölcük	1355	Yazlık	100639	/wiki/Kocaeli_Province	Kocaeli Province	TR421
/wiki/List_of_municipalities_in_Ardahan_Province	Göle	1356	Göle	100640	/wiki/Ardahan_Province	Ardahan Province	TRA24
/wiki/List_of_municipalities_in_Ardahan_Province	Göle	1356	Köprülü	100641	/wiki/Ardahan_Province	Ardahan Province	TRA24
/wiki/List_of_municipalities_in_Burdur_Province	Gölhisar	1357	Gölhisar	100642	/wiki/Burdur_Province	Burdur Province	TR613
/wiki/List_of_municipalities_in_Burdur_Province	Gölhisar	1357	İbecik	100643	/wiki/Burdur_Province	Burdur Province	TR613
/wiki/List_of_municipalities_in_Burdur_Province	Gölhisar	1357	Yusufça	100644	/wiki/Burdur_Province	Burdur Province	TR613
/wiki/List_of_municipalities_in_Ordu_Province	Gölköy	1358	Alanyurt	100645	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Gölköy	1358	Aydoğan	100646	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Gölköy	1358	Damarlı	100647	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Gölköy	1358	Düzyayla	100648	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Gölköy	1358	Gölköy	100649	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Gölköy	1358	Güzelyurt	100650	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Gölköy	1358	Karahasan	100651	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Bilecik_Province	Gölpazarı	1359	Gölpazarı	100652	/wiki/Bilecik_Province	Bilecik Province	TR413
/wiki/List_of_municipalities_in_Bal%C4%B1kesir_Province	Gönen	1360	Gönen	100653	/wiki/Bal%C4%B1kesir_Province	Balıkesir Province	TR221
/wiki/List_of_municipalities_in_Bal%C4%B1kesir_Province	Gönen	1360	Sarıköy	100654	/wiki/Bal%C4%B1kesir_Province	Balıkesir Province	TR221
/wiki/List_of_municipalities_in_Isparta_Province	Gönen	1360	Gönen	100655	/wiki/Isparta_Province	Isparta Province	TR612
/wiki/List_of_municipalities_in_Isparta_Province	Gönen	1360	Güneykent	100656	/wiki/Isparta_Province	Isparta Province	TR612
/wiki/List_of_municipalities_in_Giresun_Province	Görele	1361	Aydınlar	100657	/wiki/Giresun_Province	Giresun Province	TR903
/wiki/List_of_municipalities_in_Giresun_Province	Görele	1361	Çavuşlu	100658	/wiki/Giresun_Province	Giresun Province	TR903
/wiki/List_of_municipalities_in_Giresun_Province	Görele	1361	Görele	100659	/wiki/Giresun_Province	Giresun Province	TR903
/wiki/List_of_municipalities_in_Giresun_Province	Görele	1361	Kırıklı	100660	/wiki/Giresun_Province	Giresun Province	TR903
/wiki/List_of_municipalities_in_Giresun_Province	Görele	1361	Köprübaşı	100661	/wiki/Giresun_Province	Giresun Province	TR903
/wiki/List_of_municipalities_in_Manisa_Province	Gördes	1362	Çiçekli	100662	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Gördes	1362	Gördes	100663	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Gördes	1362	Güneşli	100664	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Gördes	1362	Kayacık	100665	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Amasya_Province	Göynücek	1363	Damlaçimen	100666	/wiki/Amasya_Province	Amasya Province	TR834
/wiki/List_of_municipalities_in_Amasya_Province	Göynücek	1363	Gediksaray	100667	/wiki/Amasya_Province	Amasya Province	TR834
/wiki/List_of_municipalities_in_Bolu_Province	Göynük	1364	Göynük	100668	/wiki/Bolu_Province	Bolu Province	TR424
/wiki/List_of_municipalities_in_Amasya_Province	Gümüşhacıköy	1368	Gümüş	100669	/wiki/Amasya_Province	Amasya Province	TR834
/wiki/List_of_municipalities_in_Antalya_Province	Gündoğmuş	1370	Gündoğmuş	100670	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Gündoğmuş	1370	Köprülü	100671	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Gündoğmuş	1370	Ortaköy	100672	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Gündoğmuş	1370	Senir	100673	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Denizli_Province	Güney	1371	Eziler	100674	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Denizli_Province	Güney	1371	Güney	100675	/wiki/Denizli_Province	Denizli Province	TR322
/wiki/List_of_municipalities_in_Van_Province	Gürpınar	1372	Gürpınar	100676	/wiki/Van_Province	Van Province	TRB21
/wiki/List_of_municipalities_in_Sivas_Province	Gürün	1373	Gürün	100677	/wiki/Sivas_Province	Sivas Province	TR722
/wiki/List_of_municipalities_in_Sivas_Province	Gürün	1373	Suçatı	100678	/wiki/Sivas_Province	Sivas Province	TR722
/wiki/List_of_municipalities_in_Konya_Province	Hadim	1375	Bademli	100679	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Hadim	1375	Bağbaşı	100680	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Hadim	1375	Bolat	100681	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Hadim	1375	Güynükkışla	100682	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Hadim	1375	Yalınçevre	100683	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Sivas_Province	Hafik	1376	Hafik	100684	/wiki/Sivas_Province	Sivas Province	TR722
/wiki/List_of_municipalities_in_%C5%9Eanl%C4%B1urfa_Province	Halfeti	1378	Argıl	100685	/wiki/%C5%9Eanl%C4%B1urfa_Province	Şanlıurfa Province	TRC21
/wiki/List_of_municipalities_in_%C5%9Eanl%C4%B1urfa_Province	Halfeti	1378	Halfeti	100686	/wiki/%C5%9Eanl%C4%B1urfa_Province	Şanlıurfa Province	TRC21
/wiki/List_of_municipalities_in_%C5%9Eanl%C4%B1urfa_Province	Halfeti	1378	Yukarıgöklü	100687	/wiki/%C5%9Eanl%C4%B1urfa_Province	Şanlıurfa Province	TRC21
/wiki/List_of_municipalities_in_A%C4%9Fr%C4%B1_Province	Hamur	1379	Hamur	100688	/wiki/A%C4%9Fr%C4%B1_Province	Ağrı Province	TRA21
/wiki/List_of_municipalities_in_Ardahan_Province	Hanak	1380	Hanak	100689	/wiki/Ardahan_Province	Ardahan Province	TRA24
/wiki/List_of_municipalities_in_Ardahan_Province	Hanak	1380	Ortakent	100690	/wiki/Ardahan_Province	Ardahan Province	TRA24
/wiki/List_of_municipalities_in_Diyarbak%C4%B1r_Province	Hani	1381	Gürbüz	100691	/wiki/Diyarbak%C4%B1r_Province	Diyarbakır Province	TRC22
/wiki/List_of_municipalities_in_Diyarbak%C4%B1r_Province	Hani	1381	Hani	100692	/wiki/Diyarbak%C4%B1r_Province	Diyarbakır Province	TRC22
/wiki/List_of_municipalities_in_Diyarbak%C4%B1r_Province	Hani	1381	Kuyular	100693	/wiki/Diyarbak%C4%B1r_Province	Diyarbakır Province	TRC22
/wiki/List_of_municipalities_in_Hatay_Province	Hassa	1382	Akbez	100694	/wiki/Hatay_Province	Hatay Province	TR631
/wiki/List_of_municipalities_in_Hatay_Province	Hassa	1382	Ardıçlı	100695	/wiki/Hatay_Province	Hatay Province	TR631
/wiki/List_of_municipalities_in_Hatay_Province	Hassa	1382	Küreci	100696	/wiki/Hatay_Province	Hatay Province	TR631
/wiki/List_of_municipalities_in_Hatay_Province	Hassa	1382	Söğüt	100697	/wiki/Hatay_Province	Hatay Province	TR631
/wiki/List_of_municipalities_in_Bal%C4%B1kesir_Province	Havran	1384	Büyükdere	100698	/wiki/Bal%C4%B1kesir_Province	Balıkesir Province	TR221
/wiki/List_of_municipalities_in_Bal%C4%B1kesir_Province	Havran	1384	Havran	100699	/wiki/Bal%C4%B1kesir_Province	Balıkesir Province	TR221
/wiki/List_of_municipalities_in_Samsun_Province	Havza	1386	Bekdiğin	100700	/wiki/Samsun_Province	Samsun Province	TR831
/wiki/List_of_municipalities_in_Samsun_Province	Havza	1386	Havza	100701	/wiki/Samsun_Province	Samsun Province	TR831
/wiki/List_of_municipalities_in_Samsun_Province	Havza	1386	Ilıca	100702	/wiki/Samsun_Province	Samsun Province	TR831
/wiki/List_of_municipalities_in_Tekirda%C4%9F_Province	Hayrabolu	1388	Hayrabolu	100703	/wiki/Tekirda%C4%9F_Province	Tekirdağ Province	TR211
/wiki/List_of_municipalities_in_Tekirda%C4%9F_Province	Hayrabolu	1388	Şalgamlı	100704	/wiki/Tekirda%C4%9F_Province	Tekirdağ Province	TR211
/wiki/List_of_municipalities_in_Diyarbak%C4%B1r_Province	Hazro	1389	Hazro	100705	/wiki/Diyarbak%C4%B1r_Province	Diyarbakır Province	TRC22
/wiki/List_of_municipalities_in_Malatya_Province	Hekimhan	1390	Güzelyurt	100706	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Malatya_Province	Hekimhan	1390	Hasançelebi	100707	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Malatya_Province	Hekimhan	1390	Hekimhan	100708	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Malatya_Province	Hekimhan	1390	İpekyolu	100709	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Malatya_Province	Hekimhan	1390	Kocaözü	100710	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Malatya_Province	Hekimhan	1390	Kurşunlu	100711	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Sakarya_Province	Hendek	1391	Çamlıca	100712	/wiki/Sakarya_Province	Sakarya Province	TR422
/wiki/List_of_municipalities_in_Sakarya_Province	Hendek	1391	Hendek	100713	/wiki/Sakarya_Province	Sakarya Province	TR422
/wiki/List_of_municipalities_in_Sakarya_Province	Hendek	1391	Yeşilyurt	100714	/wiki/Sakarya_Province	Sakarya Province	TR422
/wiki/List_of_municipalities_in_Erzurum_Province	Hınıs	1392	Halilçavuş	100715	/wiki/Erzurum_Province	Erzurum Province	TRA11
/wiki/List_of_municipalities_in_Erzurum_Province	Hınıs	1392	Hınıs	100716	/wiki/Erzurum_Province	Erzurum Province	TRA11
/wiki/List_of_municipalities_in_%C5%9Eanl%C4%B1urfa_Province	Hilvan	1393	Hilvan	100717	/wiki/%C5%9Eanl%C4%B1urfa_Province	Şanlıurfa Province	TRC21
/wiki/List_of_municipalities_in_Bitlis_Province	Hizan	1394	Hizan	100718	/wiki/Bitlis_Province	Bitlis Province	TRB23
/wiki/List_of_municipalities_in_Bitlis_Province	Hizan	1394	Kolludere	100719	/wiki/Bitlis_Province	Bitlis Province	TRB23
/wiki/List_of_municipalities_in_Artvin_Province	Hopa	1395	Hopa	100720	/wiki/Artvin_Province	Artvin Province	TR905
/wiki/List_of_municipalities_in_Artvin_Province	Hopa	1395	Kemalpaşa	100721	/wiki/Artvin_Province	Artvin Province	TR905
/wiki/List_of_municipalities_in_Erzurum_Province	Horasan	1396	Horasan	100722	/wiki/Erzurum_Province	Erzurum Province	TRA11
/wiki/List_of_municipalities_in_Tunceli_Province	Hozat	1397	Hozat	100723	/wiki/Tunceli_Province	Tunceli Province	TRB14
/wiki/List_of_municipalities_in_Konya_Province	Ilgın	1400	Argıthanı	100724	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Ilgın	1400	Aşağıçiğil	100725	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Ilgın	1400	Balkı	100726	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Ilgın	1400	Beykonak	100727	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Ilgın	1400	Çavuşçugöl	100728	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Ilgın	1400	Gökçeyurt	100729	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_Konya_Province	Ilgın	1400	Yukarıçiğil	100730	/wiki/Konya_Province	Konya Province	TR521
/wiki/List_of_municipalities_in_%C5%9E%C4%B1rnak_Province	İdil	1403	Karalar	100731	/wiki/%C5%9E%C4%B1rnak_Province	Şırnak Province	TRC33
/wiki/List_of_municipalities_in_%C5%9E%C4%B1rnak_Province	İdil	1403	Sırtköy	100732	/wiki/%C5%9E%C4%B1rnak_Province	Şırnak Province	TRC33
/wiki/List_of_municipalities_in_Afyonkarahisar_Province	İhsaniye	1404	Ayazini	100733	/wiki/Afyonkarahisar_Province	Afyonkarahisar Province	TR332
/wiki/List_of_municipalities_in_Afyonkarahisar_Province	İhsaniye	1404	Bozhüyük	100734	/wiki/Afyonkarahisar_Province	Afyonkarahisar Province	TR332
/wiki/List_of_municipalities_in_Afyonkarahisar_Province	İhsaniye	1404	Döğer	100735	/wiki/Afyonkarahisar_Province	Afyonkarahisar Province	TR332
/wiki/List_of_municipalities_in_Afyonkarahisar_Province	İhsaniye	1404	Gazlıgöl	100736	/wiki/Afyonkarahisar_Province	Afyonkarahisar Province	TR332
/wiki/List_of_municipalities_in_Afyonkarahisar_Province	İhsaniye	1404	Gazlıgölakören	100737	/wiki/Afyonkarahisar_Province	Afyonkarahisar Province	TR332
/wiki/List_of_municipalities_in_Afyonkarahisar_Province	İhsaniye	1404	İhsaniye	100738	/wiki/Afyonkarahisar_Province	Afyonkarahisar Province	TR332
/wiki/List_of_municipalities_in_Afyonkarahisar_Province	İhsaniye	1404	Karacaahmet	100739	/wiki/Afyonkarahisar_Province	Afyonkarahisar Province	TR332
/wiki/List_of_municipalities_in_Afyonkarahisar_Province	İhsaniye	1404	Kayıhan	100740	/wiki/Afyonkarahisar_Province	Afyonkarahisar Province	TR332
/wiki/List_of_municipalities_in_Afyonkarahisar_Province	İhsaniye	1404	Yaylabağı	100741	/wiki/Afyonkarahisar_Province	Afyonkarahisar Province	TR332
/wiki/List_of_municipalities_in_Rize_Province	İkizdere	1405	Güneyce	100742	/wiki/Rize_Province	Rize Province	TR904
/wiki/List_of_municipalities_in_Rize_Province	İkizdere	1405	İkizdere	100743	/wiki/Rize_Province	Rize Province	TR904
/wiki/List_of_municipalities_in_Erzincan_Province	İliç	1406	İliç	100744	/wiki/Erzincan_Province	Erzincan Province	TRA12
/wiki/List_of_municipalities_in_Sivas_Province	İmranlı	1407	İmranlı	100745	/wiki/Sivas_Province	Sivas Province	TR722
/wiki/List_of_municipalities_in_%C3%87anakkale_Province	Gökçeada	1408	Gökçeada	100746	/wiki/%C3%87anakkale_Province	Çanakkale Province	TR222
/wiki/List_of_municipalities_in_Kayseri_Province	İncesu	1409	İncesu	100747	/wiki/Kayseri_Province	Kayseri Province	TR721
/wiki/List_of_municipalities_in_Kayseri_Province	İncesu	1409	Kızılören	100748	/wiki/Kayseri_Province	Kayseri Province	TR721
/wiki/List_of_municipalities_in_Kayseri_Province	İncesu	1409	Süksün	100749	/wiki/Kayseri_Province	Kayseri Province	TR721
/wiki/List_of_municipalities_in_Kastamonu_Province	İnebolu	1410	İnebolu	100750	/wiki/Kastamonu_Province	Kastamonu Province	TR821
/wiki/List_of_municipalities_in_Bursa_Province	İnegöl	1411	Alanyurt	100751	/wiki/Bursa_Province	Bursa Province	TR411
/wiki/List_of_municipalities_in_Bursa_Province	İnegöl	1411	Cerrah	100752	/wiki/Bursa_Province	Bursa Province	TR411
/wiki/List_of_municipalities_in_Bursa_Province	İnegöl	1411	İnegöl	100753	/wiki/Bursa_Province	Bursa Province	TR411
/wiki/List_of_municipalities_in_Bursa_Province	İnegöl	1411	Kurşunlu	100754	/wiki/Bursa_Province	Bursa Province	TR411
